,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,recon_err,y
TCGA-EY-A1GK-01A-11R-A13S-07,0.16041201,0.48847806,0.4872511,-0.3813669,-2.4839246,0.162233,-0.706514,-0.4359459,-0.5068921,-0.031187791,-0.83066887,-2.2870471,1.0361127,1.1129854,0.31549594,0.68607986,-0.21089871,-0.4369924,-3.8392696,-1.6808195,-1.0472203,0.20795804,-0.9868833,-1.2346481,-3.3399975,-0.56343526,2.2043219,-1.4421704,2.3072066,3.552503,1.9134927,-1.8091774,15.41492,0.0
TCGA-FI-A2CX-01A-11R-A17B-07,-3.6142774,4.4676538,-4.624421,-1.9407107,5.503517,8.898105,6.2894006,1.7973694,-6.017203,-8.9679985,-5.1888914,1.2560822,4.5488663,-1.05343,-0.35156074,-3.849351,-1.1367372,-6.17833,-3.2899857,-4.871344,5.644786,-0.7285129,-4.3286357,5.89861,-1.3465506,-2.7979238,-0.61101687,-1.1546801,6.4869914,-0.94989485,4.742375,0.38958886,11.567455,0.0
TCGA-AX-A3G3-01A-11R-A213-07,-0.55903214,1.6437683,-2.5605047,-1.8825914,4.30623,6.4069757,2.8145275,-1.3323131,-0.4106036,-3.5899913,2.175907,5.0813637,2.1753197,2.465825,1.7476014,12.363192,1.1035587,4.0556846,-1.6763476,-6.4576116,6.6069574,1.9813315,-6.6805534,0.45097798,2.2943857,-0.43263066,-4.263624,1.1726204,5.879416,0.7424651,3.641556,0.65042746,15.213572,
TCGA-A5-A0GM-01A-11R-A040-07,-0.52097183,-2.7801027,-1.5718278,0.18220492,-0.16388966,0.78854626,0.3365569,-0.21694952,-0.9391224,0.27015013,-1.7611462,0.40446755,2.0826077,1.4607606,1.2647324,-0.30738926,0.24880067,4.54827,-0.18013348,0.09089138,-0.46909985,-2.188277,-2.6481268,-0.5188235,-0.84594744,-1.1107987,1.9411212,-0.8579228,-2.3234682,0.19077466,0.11098147,0.97114044,11.170344,0.0
TCGA-BG-A0MS-01A-11R-A104-07,-0.63817006,-0.2759869,-0.011261107,-0.5551032,0.74808353,-0.6537613,-0.5960555,-0.8277342,0.59713763,-2.076882,0.12528014,0.08605657,1.8936818,-0.27335715,-1.2230021,-0.66858315,1.4505155,1.3148421,0.30564868,-2.138318,0.8975041,0.09503911,-0.98726726,-1.3699925,0.29780498,-0.26529154,1.0535789,0.73759466,-0.2398777,0.18714172,-1.3023664,-0.28207725,7.523183,0.0
TCGA-B5-A0KB-01B-11R-A14D-07,-2.17434,-1.363516,1.5472411,-1.5009164,1.8085052,1.4453028,-0.6099974,-1.0122049,2.3741553,-5.317685,-2.4083169,-0.4263007,1.2013202,-0.64226884,-2.7547395,0.65452284,-2.0648577,0.6575889,-4.408064,-2.853569,1.8572739,-7.535826,-0.8071042,3.2798965,-3.5012765,-1.0328792,1.2019068,4.7866263,6.00994,1.8569666,2.1405616,1.3933042,14.661482,0.0
TCGA-BG-A0M8-01A-12R-A104-07,-4.1766853,-2.1137378,-6.3583183,1.6854331,0.9813495,6.1672153,0.2915059,3.050529,-1.1955799,-1.7308593,-4.115572,1.8489908,0.9169825,3.257075,0.47196296,0.42026377,0.6707406,0.5440146,0.21082395,-3.2413118,1.3504738,-1.3678975,-5.029051,3.622273,-1.1141187,0.18971086,2.1411362,3.382193,0.09076148,0.80241215,0.9336937,0.6817325,9.045208,0.0
TCGA-AP-A05D-01A-11R-A00V-07,-1.1058687,-8.319097,2.2593553,0.20314701,2.2805562,6.109452,-3.657762,1.6000719,4.0738344,-4.1662054,-0.09139883,2.766255,1.9971862,-1.1862391,0.34812054,3.4514291,1.5074542,0.07600088,-0.23019557,-4.301321,6.023147,-5.1819825,-4.2052836,6.456416,-2.468607,-2.1432197,-0.0058070864,5.439732,1.2668159,-2.6768854,2.7973623,-0.48071897,14.657679,0.0
TCGA-AX-A2HF-01A-11R-A17B-07,3.2060652,-3.4133286,3.2524037,-1.6582348,0.37327388,-0.68157756,0.03978437,-1.3030443,0.18502225,-3.1298425,-0.013424477,0.24590512,-1.7100796,-0.03434355,-2.2935433,2.8842783,-1.2937257,1.2444577,-2.3175697,-3.1760764,3.5007436,-6.3955464,0.3332622,0.14434366,1.102215,-1.0887315,0.16094227,-1.6462824,1.2833536,-2.004246,-0.87172407,2.9172678,14.108192,0.0
TCGA-AX-A2HD-01A-21R-A17B-07,-1.3086021,1.4697232,2.8670413,-2.7273133,-1.7786524,0.7263221,-1.076989,-1.5943525,1.6446187,-4.1179595,0.25760445,2.0596485,-0.7371015,-3.1887023,-2.0407019,2.724291,-0.0019034026,-0.80187243,-1.3837771,-0.66101897,0.42765823,-1.6394273,2.5561485,-1.5542958,-0.46071666,-2.8898218,2.0342324,-0.010469582,1.4342415,-1.077854,0.1356158,0.13256875,11.423335,0.0
TCGA-BG-A0YU-01A-21R-A10J-07,-1.8069761,-2.4108071,0.49638513,-1.0900905,-1.2356576,-0.07426583,-1.4710056,-1.8684267,-0.6905446,-0.33857882,-2.2738063,-0.39608568,1.4512023,2.5719602,-2.932555,0.47502208,-0.8050316,2.1648474,-0.40949845,-1.3309473,1.736467,0.5384032,-0.51190233,-1.9730436,-3.5222092,0.5023008,2.9926436,-3.2161267,0.043038506,2.293157,-1.043799,0.16233885,9.735928,0.0
TCGA-D1-A102-01A-11R-A10J-07,-1.3898208,1.4595909,-0.7420213,-1.1504997,2.3298478,-0.4178436,0.83309954,-1.729277,-0.30760735,-3.9707851,-1.9327933,-0.16455136,2.0390332,-0.49568227,-0.71571153,-1.1348165,1.4467356,2.1055822,0.12699413,-1.3346422,3.2102408,0.33876324,-2.2343466,-2.242105,0.12149254,0.49846897,2.431257,0.8590664,-0.5580748,-0.4623443,-1.8913099,-0.15298899,11.984666,0.0
TCGA-AP-A3K1-01A-11R-A213-07,0.8053104,-2.3750465,-4.414657,2.1969213,2.2258852,1.3109288,-0.7366621,-1.1042157,-0.5875081,4.677304,6.50028,1.4677724,5.841884,1.8234187,-0.087349266,2.1544402,-1.6978128,2.1575778,-1.9656961,0.70017844,2.5349805,-2.94438,-4.3948975,-1.4817566,1.4204575,-1.4867116,0.15590426,3.4237616,0.31722772,2.644494,-3.3724217,-1.5495514,16.349644,
TCGA-B5-A0JU-01B-11R-A14D-07,-1.961934,-0.53600496,2.10661,3.0032432,-0.15372714,-0.17915785,0.5373873,-1.54977,0.9924223,-3.3940055,0.5122493,1.0239533,1.6954403,-0.7655686,1.8012711,-0.34223655,-0.9992696,3.0776927,0.21706653,-2.3497117,-1.1722589,-0.9309709,0.9145357,-0.7775287,-3.7616324,-3.5405884,1.6548654,0.8849845,1.2917457,-2.458106,-3.1898932,-1.0338314,12.141597,0.0
TCGA-FI-A2EX-01A-11R-A17B-07,2.3935926,-1.7667488,-0.026797112,-3.2296205,4.272839,4.6356444,-0.53215706,-0.10262282,1.6431985,1.1761881,3.333683,1.0999148,4.8163652,-0.91366726,-0.91044575,1.5727366,-4.50306,1.9453799,-4.602061,-5.274104,2.2095954,-6.214675,-1.8306888,1.6592877,1.4898179,-2.049389,3.8892536,0.83265173,0.2188034,4.0744286,-1.9378686,-1.2998471,18.757238,1.0
TCGA-AP-A05P-01A-11R-A16W-07,0.6363605,-1.3519568,-2.0851548,2.382562,0.22641064,-0.74167526,-2.6758294,0.021733843,1.864833,-3.4982753,-1.966748,-1.600717,-0.8634069,-0.12381525,-1.6408098,1.4265904,2.7504551,-3.9752696,-1.1564152,1.5211418,3.8320212,-0.53627324,-2.9428802,-0.38956672,0.12893069,-2.7892501,1.7592136,-0.42165664,-3.5874467,0.25300917,-1.6670535,-1.198862,8.63868,0.0
TCGA-AP-A1DM-01A-21R-A137-07,-0.16443786,-1.4332956,-2.320538,2.436057,-2.018649,1.9872004,-0.30781078,0.032614835,0.6442109,-0.8086001,0.15035379,0.7544897,1.7447067,-1.6381044,-0.22311349,1.5484291,-0.22101066,1.746106,-0.39389554,-1.618152,-2.8502667,-0.7912939,-1.0091759,-1.1517576,0.34825134,-3.2019951,3.0576985,0.41406214,-2.1347594,-0.68464893,-0.36917016,-2.2190661,5.891966,0.0
TCGA-AX-A05Y-01A-11R-A00V-07,-5.314572,-4.8429,2.3871822,-2.2380702,0.9190048,2.0240023,-3.9856327,-2.015038,0.17383827,-1.775626,-5.0021367,5.429075,2.0374897,-4.615378,-0.33490077,4.5682273,-0.4159388,1.548011,3.5967712,1.3600495,1.6736118,-3.9778283,-1.811526,1.0261006,-1.5151597,-5.0536475,5.519738,0.9006979,1.5605943,-2.0168352,0.75324696,-1.8610523,10.990064,1.0
TCGA-AP-A1DH-01A-31R-A137-07,1.4214418,-1.4454267,-1.1702518,1.2419903,-3.0744262,4.4651504,0.8580772,1.5598222,-1.1051316,-0.13676818,-0.029457513,-0.9821082,1.3677051,-1.2803507,0.5474928,2.213767,-1.3353637,3.5907588,-2.2278855,-0.42691472,-3.9330235,-0.95304185,-2.9054513,1.1752659,-2.869013,-2.350552,1.557877,-1.7752614,0.45939478,-2.6072614,2.933907,-0.45677486,14.888142,0.0
TCGA-D1-A0ZQ-01A-11R-A118-07,-0.8196862,1.6747177,-4.672108,-0.32992658,-1.7272704,2.0764575,0.93901914,-2.631734,1.376486,-0.7177729,-3.840777,0.40039966,-0.33561957,0.68510234,-0.36220694,0.9417718,1.4313054,1.6190257,-2.7053754,-3.5277948,-0.539392,-2.5707073,-0.1844881,-4.0509653,-0.061235297,0.20524709,3.5856242,0.5094303,0.3286366,4.465969,0.83264077,1.8032354,15.86903,0.0
TCGA-BG-A0MC-01A-21R-A040-07,-2.6146173,-6.268938,-1.9471194,-0.53800017,-1.6337941,2.0275342,-5.13325,0.6114259,-2.2030067,-1.7924622,-0.9015785,1.8467934,2.211982,2.5860322,-3.7089427,1.7565352,0.322783,2.475764,0.22192816,-2.5344617,-0.47553617,1.8911574,-4.896914,3.6377566,-1.4707391,1.6037531,1.5330901,0.87462306,-0.7685987,2.7317657,2.8822362,0.47992018,8.252247,0.0
TCGA-D1-A16D-01A-11R-A12I-07,-0.8104483,-1.4194077,-1.2151692,1.0468202,1.4785804,2.3856704,-2.0022147,-1.2871019,0.6525109,-3.040715,-0.63073534,0.77970845,0.98679894,1.8787752,0.19323681,-0.1413022,0.64426905,-0.4656821,-0.21854305,-2.1401768,0.76239145,2.1070037,-2.2069204,1.1712103,-2.719397,-1.6559186,-0.7971105,1.6493933,-1.36375,2.3956773,0.1940864,-0.42432788,3.6704566,0.0
TCGA-AJ-A3EJ-01A-11R-A19W-07,0.80383635,-0.20699295,-0.06652393,-0.5380283,1.6640503,0.7990352,-0.38543397,-0.6796642,-0.43995264,-4.686277,-1.5026304,-1.9335687,-1.1415114,-0.31442454,-2.4002202,6.9222593,0.9558791,-3.0255702,-0.58277047,-2.3654187,7.2422824,-2.4472425,-3.3592734,-1.8524492,-0.21331379,-2.3364496,-1.9121346,3.9194183,0.086370945,0.071644045,-0.92119783,1.0717857,17.921837,
TCGA-DI-A2QU-01A-11R-A18M-07,-2.4098241,-4.584739,-3.379859,-5.9166584,1.008135,5.089525,5.320581,2.6102521,3.075942,3.928533,-4.614499,1.2651001,-2.3759487,-1.4953638,0.26589397,1.8579296,-2.0660493,5.2102256,2.277467,-0.25158846,2.5750124,-6.0203567,-2.6724644,0.36569583,-4.180504,-7.471994,4.454245,-2.060859,4.4518285,0.6617708,-3.337871,1.5220282,15.652782,
TCGA-EO-A22Y-01A-11R-A180-07,-4.0177817,0.6796094,-0.9793615,-1.9752932,-1.8290987,0.7324937,-1.3158813,-0.7006761,0.7083992,0.053329803,-0.47872162,-0.11721968,-1.2541885,-0.89154154,-4.1212873,4.6237774,1.8115917,0.09289752,1.1234239,0.6049409,4.3393235,-0.36211336,-1.0944599,-3.4842045,-2.2816014,-2.1855514,1.0602311,2.7243109,2.9779952,1.1292173,-4.664247,0.14764096,16.667452,
TCGA-B5-A1MX-01A-11R-A144-07,0.4066309,-0.25755253,0.24965538,-4.004351,0.16498168,2.7926066,1.4150782,-1.8602083,-1.292411,-0.21852516,-2.1149063,0.4876804,0.6438512,-1.7774891,2.1222463,0.05100547,-1.3061537,1.112953,-3.6895542,-0.3041397,-3.0339742,0.43943265,-1.4191129,-2.5636144,-3.900442,-1.2927986,0.90795106,-0.40781963,0.42514536,2.3400593,0.2904333,-0.9522976,15.982261,0.0
TCGA-AX-A0IU-01A-11R-A16W-07,1.4082845,-5.6675124,-0.44516787,-4.184564,1.3663208,1.8723333,-0.813623,0.21423495,3.1342452,-0.43830478,1.0734277,2.429538,0.048785936,-1.3809134,-0.3759789,0.3345627,-2.423738,2.8741827,-3.5329185,-1.7787699,5.4568014,-1.6422435,-0.49744397,0.15754434,0.64461607,-3.2834616,2.2952766,-4.858758,-2.1294649,4.1409206,-1.1563623,-1.4320922,20.689672,0.0
TCGA-EY-A1GH-01A-11R-A13S-07,0.19321515,0.5952472,0.6733613,0.59410477,0.1304518,0.15533862,0.04109752,-3.3153067,1.4365587,-0.39287093,0.69409585,-0.65353817,2.2575276,0.25904685,-1.9448783,-0.7227682,0.18063676,-0.41663814,-2.8690956,0.35142538,0.97124803,0.33739334,-0.6833549,-1.0610402,-3.2063558,-2.0596352,-1.6342653,-0.9725913,-0.04928541,1.0582387,-2.1242537,-2.741356,7.390086,0.0
TCGA-AX-A1CC-01A-11R-A137-07,-0.08266286,2.7622604,-1.6228548,-1.4123976,-0.38566798,3.8273518,1.7751352,0.5504214,0.6195254,-7.481664,-0.14303274,2.4674451,-1.789158,1.2565639,-1.205477,3.6084712,0.9581144,-2.8523846,-3.4294376,-1.9536744,2.669025,-1.7619938,-0.8581538,-1.9965795,1.5581175,0.111607976,2.391899,-0.20533669,0.33912084,3.3745472,1.7214208,3.238812,9.770589,0.0
TCGA-AX-A1CK-01A-11R-A137-07,-2.5513213,-3.7929773,-2.9716382,-0.54909956,-2.2983322,-1.8649901,0.73388773,-0.8589626,-0.61281866,2.1973944,-0.47691596,0.75604457,0.07634508,-0.55743706,-0.21612556,1.4286425,-0.43772838,5.9051676,0.74959373,-2.3428204,-2.527515,-0.9287412,-0.651625,-3.2202368,0.33028957,-2.96205,2.9944797,-2.7407215,2.504367,-1.5528483,1.7899129,0.8826331,12.301854,1.0
TCGA-E6-A1M0-01A-11R-A144-07,-0.68812495,-1.3715369,1.7289029,-3.174839,-2.7309842,0.15690647,1.9484609,-1.5437808,-0.6282996,0.61193055,-0.11979402,-0.66541904,3.1619303,-3.829544,2.6865902,-1.881177,0.10858276,0.6954075,-3.0865633,2.6092184,0.16111314,-4.8852735,-1.2653508,-1.871419,-3.5662746,-0.6410634,-0.6883031,-2.7071104,0.94938195,-2.9396784,-1.8799251,0.94404936,16.64419,0.0
TCGA-D1-A3DA-01A-12R-A213-07,0.8680073,-0.80153346,-0.9492912,2.2244494,-0.017305765,-0.67883986,-2.5808294,-2.6930082,-0.42726538,-4.0549912,0.6663274,-1.914375,1.1221308,-1.3220788,-1.0612661,3.5232613,0.57770467,-4.9013276,-0.5942273,-3.1274593,4.332555,1.1264604,-1.8366326,-1.5970061,-1.741097,-5.9429793,-3.142128,3.678887,-0.4659833,-0.4898942,-1.2588619,-1.0122906,13.978128,
TCGA-D1-A17L-01A-11R-A12I-07,-3.3488605,-4.717001,-5.9877586,0.43212265,0.13603391,0.70644104,-3.2384803,-1.5395474,-1.5402964,1.5317222,-2.4256535,4.520149,-1.9933217,-0.9749384,0.58489054,0.33113077,-1.2938,1.2510035,1.8209485,-3.3501256,-1.6767353,1.5338165,0.16730155,-0.649205,-1.7856438,-3.5398722,0.7620624,-1.7668337,4.0667167,2.2005959,6.4284706,-0.8309581,11.120139,0.0
TCGA-B5-A3FH-01A-11R-A19W-07,-4.7553787,-0.6737984,-3.0481703,1.3155097,1.3716246,1.3135996,-1.715707,-5.291538,-3.262902,-3.5966375,0.06560716,-2.9293299,-2.9444501,-0.3814117,-4.4873514,2.8620903,-2.798358,0.12581517,-1.2914642,1.7238765,1.927607,1.3352181,-2.8451393,-1.0278691,-5.6811757,-4.019642,-0.64506185,3.9136653,3.125858,-0.7550632,-3.5112166,-0.047889315,14.074812,
TCGA-SJ-A6ZJ-01A-12R-A34R-07,-2.5350068,-3.7406366,-0.55749,-0.46238762,-2.6890066,-0.47482598,-1.7029885,2.5275786,-1.4210579,0.2677205,-0.41561717,-0.35093504,1.619984,0.7793298,-0.1470991,1.5601358,2.7856388,2.6082168,-0.6943825,1.4969286,1.9227183,1.0334215,-2.970785,-1.9059011,0.39806372,-0.2067641,-0.31982434,-0.92408556,0.78592265,-0.21231908,-2.2849994,-0.500329,3.5618522,
TCGA-BS-A0UA-01A-11R-A118-07,0.12535301,-1.0938641,0.69321114,1.6011902,-0.91029227,1.8693124,-2.4380956,0.8252627,-0.14731151,-4.130133,-1.9296546,-0.6493267,-0.14573146,0.7935848,0.29845944,1.4944174,-0.7277158,-1.3306708,-1.9486067,-2.2527103,0.149065,1.7204733,-2.3119433,-0.16977195,-1.5736507,0.61211544,2.8207805,-0.71232027,1.3674103,3.1502771,1.1613464,-0.96440524,8.032479,1.0
TCGA-A5-A0G9-01A-11R-A040-07,-1.8348854,-2.5322003,1.1360637,0.43523633,-0.2500688,0.54801774,-2.2844062,0.72926754,0.5280908,-0.89048207,-2.6121993,1.669093,0.42409515,-2.2668548,-0.4341005,0.97073376,-1.3585905,0.7412859,1.7698168,-2.307355,1.6792444,1.0915738,-3.2416928,-1.218305,-0.12610063,-1.539615,1.4513962,2.6976383,0.5173038,-0.036898598,2.3217027,0.7230221,6.5147023,0.0
TCGA-A5-AB3J-01A-11R-A40A-07,-2.7337866,1.6268327,-4.956436,1.167981,-1.864941,0.60098094,3.1995788,-0.26751897,-1.6099081,-3.7902422,-2.0035381,1.2486343,0.009777543,2.7373672,0.19439238,2.3563168,1.4912566,0.18964303,0.47915515,-4.9443307,1.2755734,1.3155736,-0.6176081,-5.233762,1.8856415,1.1731813,4.0537763,0.81357574,1.9206054,3.0164833,-0.94818765,1.38984,5.5661554,
TCGA-AX-A1CP-01A-11R-A137-07,2.1441975,2.7886157,-1.7102201,-0.5860249,-1.4467164,0.69663805,-0.5286569,-1.0094912,1.3291521,-3.6899521,-1.2052008,0.6478318,-2.564967,2.9497683,-5.0844264,2.0195444,0.83923644,0.98509115,-3.4265344,1.4918795,3.1557589,1.0300347,0.47848308,-0.23335655,1.3270345,-5.6192245,-1.2026991,-0.59105617,0.69975233,0.5234698,-0.86297876,2.5824656,19.948729,1.0
TCGA-AP-A0LF-01A-11R-A118-07,-1.2779591,-1.381629,-11.384961,-3.05453,2.2824078,5.1916203,0.797067,1.5595294,-5.7993026,5.971684,5.6022162,4.712006,-1.2553548,2.2877822,-2.4233818,-0.8038024,-2.1265376,1.2688813,-4.3172436,-3.7335427,-5.203798,-2.9011176,-3.5383403,4.5836377,1.8835,-5.7261543,-0.19841126,1.6895964,4.778218,-2.0724375,0.78263974,-0.39250073,15.119542,1.0
TCGA-E6-A1LZ-01A-11R-A144-07,1.7470782,-3.4813898,-4.4362454,-1.5450839,5.048512,0.26841787,0.679701,-2.0991952,1.6070597,3.328908,0.8741906,1.8123206,3.5283954,0.3980652,-3.8449662,-0.7059649,-3.940998,1.9070979,-5.770156,-6.9107676,-0.9475622,-4.8587165,-3.6009495,3.551524,4.2532086,-4.052219,-0.1601443,0.16028535,1.1433356,2.2511034,-0.5369559,-1.3522838,21.399834,0.0
TCGA-BS-A0UL-01A-11R-A109-07,-1.4941202,1.9977986,-3.9561217,-0.4462492,-1.9325694,4.4910536,2.3169966,0.6948656,0.7702334,-3.5452313,-2.1881428,1.2535506,0.42523748,1.5196329,-0.14015841,1.264251,2.295286,-0.996853,-2.2536952,-1.0991987,-0.6213885,-0.4328579,-0.37237537,-0.49344283,-0.0889536,-0.5277737,2.1006498,0.2735732,0.4650275,3.847125,0.94536483,1.2486796,6.7314076,0.0
TCGA-BK-A26L-01A-11R-A277-07,2.6977289,3.1193347,-0.14827326,-1.6491966,2.6301482,-1.744619,7.345336,-2.1695662,0.53495234,-7.9248457,1.8761253,3.4034615,-0.2615712,6.4852047,-5.398466,-1.9118536,-3.8089592,-3.9357288,-5.5216684,-2.9462638,6.1331367,-4.623668,-3.9050066,-7.365204,-5.853083,-1.6219695,-0.9680092,0.19298106,-3.3575947,0.27406812,-4.1234407,2.4013011,12.035148,0.0
TCGA-AX-A3G7-01A-12R-A213-07,-1.0530591,-5.9858203,-1.6210381,0.42759886,-0.8822311,3.9429522,4.623643,-3.6384997,5.824578,-0.13241771,-0.028349487,-2.1298635,5.838104,8.304844,-0.20446578,2.3524852,5.2135158,0.7879289,-0.92987126,-1.6793568,6.303501,-1.6146053,-2.465104,5.4600563,-2.3877878,-3.442842,-1.4703094,3.240005,2.5432606,0.8361089,-2.2118924,-3.3438442,14.73624,
TCGA-EO-A3KW-01A-11R-A22K-07,1.1090314,0.61545855,-0.1892764,0.9238786,0.73893803,1.6456937,2.6673222,-4.2793107,2.830109,-0.26430416,-0.06177326,1.4396969,2.0964181,1.1524472,-0.18887824,4.0619903,2.4235694,0.67722774,-2.302795,-0.42092854,6.0089855,-0.20564188,-2.4128852,2.7820446,-2.210686,-5.2529798,-3.8727546,3.1218944,2.0912921,-0.0051559964,-0.62997276,-2.8832,18.267544,
TCGA-D1-A16J-01A-11R-A12I-07,-5.341005,-6.4257455,-1.5633992,-1.8573668,0.8259502,9.638044,-1.5480175,-4.956572,-0.9551859,-9.266206,-3.200185,8.576854,3.6405747,-6.8319383,-6.2059,6.388315,2.504563,2.6549609,-1.2321004,-7.629038,-1.0482638,-0.30569127,-3.4891148,6.7213807,-0.2001637,-2.2192035,3.8095748,-0.29249802,-0.59261644,0.6716744,4.8467693,-3.2490766,10.895517,0.0
TCGA-FI-A2D0-01A-11R-A17B-07,0.55624,0.9322453,0.44070715,-2.466242,-0.014526508,1.5963684,-0.7603565,-1.9416761,-0.5419335,-3.8124433,4.418842,3.3477666,3.3121436,-0.7060282,-1.950907,3.6519015,1.0006082,-0.41510487,-2.1101189,-0.5473424,-2.1221507,-3.092932,1.9494473,0.3462546,-0.48678783,-4.5144963,3.1399906,1.3057268,-1.0476204,0.12724577,-0.6129827,0.40842423,15.382373,0.0
TCGA-DI-A1BU-01A-11R-A137-07,2.019296,-0.92196614,-1.8476661,0.30932164,-3.480687,3.6937532,1.5140123,-1.2835311,-2.149843,-0.6495049,0.49697903,0.6050091,3.0396032,-0.5881514,-1.235323,5.56111,-3.826044,0.6796632,-2.54551,-0.20287274,-0.72086763,2.5395806,-0.86566544,-3.2428186,1.9886019,-2.6015677,1.3350267,-2.488763,-0.538346,0.7484181,-1.7286218,-2.185761,16.879519,
TCGA-AX-A3G4-01A-11R-A213-07,-2.2493858,-0.42250922,-5.9997444,-0.5208781,-3.2608874,3.7973635,1.909629,-0.25417227,1.7795784,1.8567107,-1.328596,1.7490739,1.6251534,0.31293914,1.5764757,6.755317,0.062267683,3.9861195,-1.3054597,-0.849405,2.7313068,-3.7293086,-1.3504888,-3.9741979,-1.6099145,0.78009,-1.0308357,1.2773963,0.91350883,3.6255558,-0.24088183,1.5711964,14.903162,
TCGA-AJ-A2QM-01A-11R-A18M-07,-3.923126,1.2072153,2.0533655,-3.2093782,2.9286659,-0.19046459,1.7056843,-4.655755,4.647903,-5.0652013,2.7408175,4.5705647,-0.91516423,-1.6685377,-1.6370199,6.760047,0.14250155,1.3881665,0.18355224,-1.1533647,2.5110621,-1.5428531,-4.583268,-6.9528904,1.0553294,-5.418248,-2.8599262,2.7118857,4.0106525,0.8151782,-0.94426453,3.3498921,20.844166,
TCGA-D1-A160-01A-11R-A118-07,-0.28513792,-0.89647657,-3.062458,1.3201661,-0.3843519,1.7121221,1.5179709,-1.0984428,-0.06487762,1.7832679,-1.3712729,0.38794568,0.9011074,-2.087403,-0.336034,-0.41026312,-0.7952092,-0.9681637,-1.0887698,-2.7807302,-1.3242162,-0.5595163,-0.7531305,-1.1554006,0.07050436,-2.453277,0.8970664,-0.50515246,0.16435882,1.0149697,2.9803708,-1.4923086,9.279916,0.0
TCGA-D1-A0ZN-01A-11R-A118-07,-1.0234029,1.0796282,-1.6843305,1.5335282,0.15258256,0.5201382,1.4289763,-1.9806681,0.114733525,-4.523076,-0.56660694,0.72676104,0.09144306,-0.03866293,0.090168364,-0.30581728,-0.0011783347,0.76900715,0.10140128,-3.6913862,0.33704096,0.75403404,-0.2890335,-3.1495378,0.5178422,0.23004983,2.7687297,0.54517096,-0.98358345,0.79815984,-0.5882655,0.44760013,3.8818805,1.0
TCGA-B5-A11Y-01A-21R-A10J-07,-1.412812,0.68261325,-2.3884277,0.17896372,2.4417198,3.0513625,-0.209407,-1.5785872,0.9583941,-4.7014494,-1.1074133,1.8559102,0.720589,-0.18203062,-0.29207274,0.56553316,0.44125146,-0.45049372,-0.48997277,-1.5246674,0.6061952,3.9081717,-1.6361398,0.92984885,-2.19067,-1.97624,-2.273244,1.0446594,0.5751685,0.6238534,1.4553214,-1.1284969,6.376432,0.0
TCGA-D1-A17N-01A-11R-A12I-07,-4.21693,-6.9570007,-2.7849438,-1.1245438,-1.6482203,1.887319,-3.4904518,1.7883278,-1.9635423,-3.7063625,-1.121005,5.341723,1.008661,1.0589821,0.89713734,0.5698608,2.472944,2.0497212,2.1961057,-2.3602154,0.3969021,-1.2844123,-3.639171,1.6776427,0.80388075,1.7602701,3.8021357,-0.49149284,1.3476154,1.0772161,2.449145,1.5733783,4.163301,0.0
